Date,Currency,Exchange
2016-07-31,EUR,0.9
2016-07-31,GBP,0.76
2016-08-01,USD,1
2016-08-01,CAD,1.31
2016-08-01,AUD,1.32
2016-08-01,EUR,0.9
2016-08-01,GBP,0.76
2016-08-02,USD,1
2016-08-02,CAD,1.31
2016-08-02,AUD,1.31
2016-08-02,EUR,0.89
2016-08-02,GBP,0.75
2016-08-03,USD,1
2016-08-03,CAD,1.31
2016-08-03,AUD,1.32
2016-08-03,EUR,0.89
2016-08-03,GBP,0.75
2016-08-04,USD,1
2016-08-04,CAD,1.31
2016-08-04,AUD,1.31
2016-08-04,EUR,0.9
2016-08-04,GBP,0.76
2016-08-05,USD,1
2016-08-05,CAD,1.3
2016-08-05,AUD,1.31
2016-08-05,EUR,0.9
2016-08-05,GBP,0.76
2016-08-06,USD,1
2016-08-06,CAD,1.3
2016-08-06,AUD,1.31
2016-08-06,EUR,0.9
2016-08-06,GBP,0.76
2016-08-07,USD,1
2016-08-07,CAD,1.3
2016-08-07,AUD,1.31
2016-08-07,EUR,0.9
2016-08-07,GBP,0.76
2016-08-08,USD,1
2016-08-08,CAD,1.31
2016-08-08,AUD,1.31
2016-08-08,EUR,0.9
2016-08-08,GBP,0.77
2016-08-09,USD,1
2016-08-09,CAD,1.31
2016-08-09,AUD,1.31
2016-08-09,EUR,0.9
2016-08-09,GBP,0.77
2016-08-10,USD,1
2016-08-10,CAD,1.3
2016-08-10,AUD,1.29
2016-08-10,EUR,0.89
2016-08-10,GBP,0.76
2016-08-11,USD,1
2016-08-11,CAD,1.31
2016-08-11,AUD,1.3
2016-08-11,EUR,0.9
2016-08-11,GBP,0.77
2016-08-12,USD,1
2016-08-12,CAD,1.3
2016-08-12,AUD,1.3
2016-08-12,EUR,0.9
2016-08-12,GBP,0.77
2016-08-13,USD,1
2016-08-13,CAD,1.3
2016-08-13,AUD,1.3
2016-08-13,EUR,0.9
2016-08-13,GBP,0.77
2016-08-14,USD,1
2016-08-14,CAD,1.3
2016-08-14,AUD,1.3
2016-08-14,EUR,0.9
2016-08-14,GBP,0.77
2016-08-15,USD,1
2016-08-15,CAD,1.29
2016-08-15,AUD,1.3
2016-08-15,EUR,0.89
2016-08-15,GBP,0.78
2016-08-16,USD,1
2016-08-16,CAD,1.28
2016-08-16,AUD,1.29
2016-08-16,EUR,0.89
2016-08-16,GBP,0.77
2016-08-17,USD,1
2016-08-17,CAD,1.29
2016-08-17,AUD,1.31
2016-08-17,EUR,0.89
2016-08-17,GBP,0.77
2016-08-18,USD,1
2016-08-18,CAD,1.28
2016-08-18,AUD,1.3
2016-08-18,EUR,0.88
2016-08-18,GBP,0.76
2016-08-19,USD,1
2016-08-19,CAD,1.28
2016-08-19,AUD,1.31
2016-08-19,EUR,0.88
2016-08-19,GBP,0.76
2016-08-20,USD,1
2016-08-20,CAD,1.28
2016-08-20,AUD,1.31
2016-08-20,EUR,0.88
2016-08-20,GBP,0.76
2016-08-21,USD,1
2016-08-21,CAD,1.28
2016-08-21,AUD,1.31
2016-08-21,EUR,0.88
2016-08-21,GBP,0.76
2016-08-22,USD,1
2016-08-22,CAD,1.29
2016-08-22,AUD,1.31
2016-08-22,EUR,0.88
2016-08-22,GBP,0.76
2016-08-23,USD,1
2016-08-23,CAD,1.29
2016-08-23,AUD,1.31
2016-08-23,EUR,0.88
2016-08-23,GBP,0.76
2016-08-24,USD,1
2016-08-24,CAD,1.29
2016-08-24,AUD,1.31
2016-08-24,EUR,0.89
2016-08-24,GBP,0.76
2016-08-25,USD,1
2016-08-25,CAD,1.29
2016-08-25,AUD,1.31
2016-08-25,EUR,0.89
2016-08-25,GBP,0.76
2016-08-26,USD,1
2016-08-26,CAD,1.29
2016-08-26,AUD,1.31
2016-08-26,EUR,0.89
2016-08-26,GBP,0.76
2016-08-27,USD,1
2016-08-27,CAD,1.29
2016-08-27,AUD,1.31
2016-08-27,EUR,0.89
2016-08-27,GBP,0.76
2016-08-28,USD,1
2016-08-28,CAD,1.29
2016-08-28,AUD,1.31
2016-08-28,EUR,0.89
2016-08-28,GBP,0.76
2016-08-29,USD,1
2016-08-29,CAD,1.3
2016-08-29,AUD,1.32
2016-08-29,EUR,0.9
2016-08-29,GBP,0.77
2016-08-30,USD,1
2016-08-30,CAD,1.3
2016-08-30,AUD,1.32
2016-08-30,EUR,0.9
2016-08-30,GBP,0.76
2016-08-31,USD,1
2016-08-31,CAD,1.31
2016-08-31,AUD,1.33
2016-08-31,EUR,0.9
2016-08-31,GBP,0.76
2016-09-01,USD,1
2016-09-01,CAD,1.31
2016-09-01,AUD,1.33
2016-09-01,EUR,0.9
2016-09-01,GBP,0.75
2016-09-02,USD,1
2016-09-02,CAD,1.31
2016-09-02,AUD,1.32
2016-09-02,EUR,0.89
2016-09-02,GBP,0.75
2016-09-03,USD,1
2016-09-03,CAD,1.31
2016-09-03,AUD,1.32
2016-09-03,EUR,0.89
2016-09-03,GBP,0.75
2016-09-04,USD,1
2016-09-04,CAD,1.31
2016-09-04,AUD,1.32
2016-09-04,EUR,0.89
2016-09-04,GBP,0.75
2016-09-05,USD,1
2016-09-05,CAD,1.29
2016-09-05,AUD,1.32
2016-09-05,EUR,0.9
2016-09-05,GBP,0.75
2016-09-06,USD,1
2016-09-06,CAD,1.29
2016-09-06,AUD,1.31
2016-09-06,EUR,0.9
2016-09-06,GBP,0.75
2016-09-07,USD,1
2016-09-07,CAD,1.29
2016-09-07,AUD,1.3
2016-09-07,EUR,0.89
2016-09-07,GBP,0.75
2016-09-08,USD,1
2016-09-08,CAD,1.29
2016-09-08,AUD,1.3
2016-09-08,EUR,0.89
2016-09-08,GBP,0.75
2016-09-09,USD,1
2016-09-09,CAD,1.3
2016-09-09,AUD,1.32
2016-09-09,EUR,0.89
2016-09-09,GBP,0.75
2016-09-10,USD,1
2016-09-10,CAD,1.3
2016-09-10,AUD,1.32
2016-09-10,EUR,0.89
2016-09-10,GBP,0.75
2016-09-11,USD,1
2016-09-11,CAD,1.3
2016-09-11,AUD,1.32
2016-09-11,EUR,0.89
2016-09-11,GBP,0.75
2016-09-12,USD,1
2016-09-12,CAD,1.31
2016-09-12,AUD,1.33
2016-09-12,EUR,0.89
2016-09-12,GBP,0.75
2016-09-13,USD,1
2016-09-13,CAD,1.31
2016-09-13,AUD,1.33
2016-09-13,EUR,0.89
2016-09-13,GBP,0.75
2016-09-14,USD,1
2016-09-14,CAD,1.32
2016-09-14,AUD,1.34
2016-09-14,EUR,0.89
2016-09-14,GBP,0.76
2016-09-15,USD,1
2016-09-15,CAD,1.32
2016-09-15,AUD,1.34
2016-09-15,EUR,0.89
2016-09-15,GBP,0.76
2016-09-16,USD,1
2016-09-16,CAD,1.32
2016-09-16,AUD,1.33
2016-09-16,EUR,0.89
2016-09-16,GBP,0.76
2016-09-17,USD,1
2016-09-17,CAD,1.32
2016-09-17,AUD,1.33
2016-09-17,EUR,0.89
2016-09-17,GBP,0.76
2016-09-18,USD,1
2016-09-18,CAD,1.32
2016-09-18,AUD,1.33
2016-09-18,EUR,0.89
2016-09-18,GBP,0.76
2016-09-19,USD,1
2016-09-19,CAD,1.32
2016-09-19,AUD,1.32
2016-09-19,EUR,0.9
2016-09-19,GBP,0.77
2016-09-20,USD,1
2016-09-20,CAD,1.32
2016-09-20,AUD,1.32
2016-09-20,EUR,0.89
2016-09-20,GBP,0.77
2016-09-21,USD,1
2016-09-21,CAD,1.31
2016-09-21,AUD,1.32
2016-09-21,EUR,0.9
2016-09-21,GBP,0.77
2016-09-22,USD,1
2016-09-22,CAD,1.3
2016-09-22,AUD,1.31
2016-09-22,EUR,0.89
2016-09-22,GBP,0.76
2016-09-23,USD,1
2016-09-23,CAD,1.3
2016-09-23,AUD,1.31
2016-09-23,EUR,0.89
2016-09-23,GBP,0.77
2016-09-24,USD,1
2016-09-24,CAD,1.3
2016-09-24,AUD,1.31
2016-09-24,EUR,0.89
2016-09-24,GBP,0.77
2016-09-25,USD,1
2016-09-25,CAD,1.3
2016-09-25,AUD,1.31
2016-09-25,EUR,0.89
2016-09-25,GBP,0.77
2016-09-26,USD,1
2016-09-26,CAD,1.32
2016-09-26,AUD,1.31
2016-09-26,EUR,0.89
2016-09-26,GBP,0.77
2016-09-27,USD,1
2016-09-27,CAD,1.33
2016-09-27,AUD,1.31
2016-09-27,EUR,0.89
2016-09-27,GBP,0.77
2016-09-28,USD,1
2016-09-28,CAD,1.32
2016-09-28,AUD,1.3
2016-09-28,EUR,0.89
2016-09-28,GBP,0.77
2016-09-29,USD,1
2016-09-29,CAD,1.31
2016-09-29,AUD,1.3
2016-09-29,EUR,0.89
2016-09-29,GBP,0.77
2016-09-30,USD,1
2016-09-30,CAD,1.32
2016-09-30,AUD,1.31
2016-09-30,EUR,0.9
2016-09-30,GBP,0.77
2016-10-01,USD,1
2016-10-01,CAD,1.32
2016-10-01,AUD,1.31
2016-10-01,EUR,0.9
2016-10-01,GBP,0.77
2016-10-02,USD,1
2016-10-02,CAD,1.32
2016-10-02,AUD,1.31
2016-10-02,EUR,0.9
2016-10-02,GBP,0.77
2016-10-03,USD,1
2016-10-03,CAD,1.31
2016-10-03,AUD,1.3
2016-10-03,EUR,0.89
2016-10-03,GBP,0.78
2016-10-04,USD,1
2016-10-04,CAD,1.32
2016-10-04,AUD,1.3
2016-10-04,EUR,0.9
2016-10-04,GBP,0.78
2016-10-05,USD,1
2016-10-05,CAD,1.32
2016-10-05,AUD,1.31
2016-10-05,EUR,0.89
2016-10-05,GBP,0.79
2016-10-06,USD,1
2016-10-06,CAD,1.32
2016-10-06,AUD,1.32
2016-10-06,EUR,0.89
2016-10-06,GBP,0.79
2016-10-07,USD,1
2016-10-07,CAD,1.33
2016-10-07,AUD,1.32
2016-10-07,EUR,0.9
2016-10-07,GBP,0.81
2016-10-08,USD,1
2016-10-08,CAD,1.33
2016-10-08,AUD,1.32
2016-10-08,EUR,0.9
2016-10-08,GBP,0.81
2016-10-09,USD,1
2016-10-09,CAD,1.33
2016-10-09,AUD,1.32
2016-10-09,EUR,0.9
2016-10-09,GBP,0.81
2016-10-10,USD,1
2016-10-10,CAD,1.33
2016-10-10,AUD,1.32
2016-10-10,EUR,0.9
2016-10-10,GBP,0.81
2016-10-11,USD,1
2016-10-11,CAD,1.32
2016-10-11,AUD,1.32
2016-10-11,EUR,0.9
2016-10-11,GBP,0.81
2016-10-12,USD,1
2016-10-12,CAD,1.32
2016-10-12,AUD,1.32
2016-10-12,EUR,0.91
2016-10-12,GBP,0.82
2016-10-13,USD,1
2016-10-13,CAD,1.32
2016-10-13,AUD,1.32
2016-10-13,EUR,0.91
2016-10-13,GBP,0.82
2016-10-14,USD,1
2016-10-14,CAD,1.32
2016-10-14,AUD,1.31
2016-10-14,EUR,0.91
2016-10-14,GBP,0.82
2016-10-15,USD,1
2016-10-15,CAD,1.32
2016-10-15,AUD,1.31
2016-10-15,EUR,0.91
2016-10-15,GBP,0.82
2016-10-16,USD,1
2016-10-16,CAD,1.32
2016-10-16,AUD,1.31
2016-10-16,EUR,0.91
2016-10-16,GBP,0.82
2016-10-17,USD,1
2016-10-17,CAD,1.31
2016-10-17,AUD,1.31
2016-10-17,EUR,0.91
2016-10-17,GBP,0.82
2016-10-18,USD,1
2016-10-18,CAD,1.31
2016-10-18,AUD,1.3
2016-10-18,EUR,0.91
2016-10-18,GBP,0.81
2016-10-19,USD,1
2016-10-19,CAD,1.31
2016-10-19,AUD,1.3
2016-10-19,EUR,0.91
2016-10-19,GBP,0.81
2016-10-20,USD,1
2016-10-20,CAD,1.32
2016-10-20,AUD,1.3
2016-10-20,EUR,0.91
2016-10-20,GBP,0.82
2016-10-21,USD,1
2016-10-21,CAD,1.32
2016-10-21,AUD,1.31
2016-10-21,EUR,0.92
2016-10-21,GBP,0.82
2016-10-22,USD,1
2016-10-22,CAD,1.32
2016-10-22,AUD,1.31
2016-10-22,EUR,0.92
2016-10-22,GBP,0.82
2016-10-23,USD,1
2016-10-23,CAD,1.32
2016-10-23,AUD,1.31
2016-10-23,EUR,0.92
2016-10-23,GBP,0.82
2016-10-24,USD,1
2016-10-24,CAD,1.34
2016-10-24,AUD,1.31
2016-10-24,EUR,0.92
2016-10-24,GBP,0.82
2016-10-25,USD,1
2016-10-25,CAD,1.33
2016-10-25,AUD,1.31
2016-10-25,EUR,0.92
2016-10-25,GBP,0.82
2016-10-26,USD,1
2016-10-26,CAD,1.34
2016-10-26,AUD,1.3
2016-10-26,EUR,0.92
2016-10-26,GBP,0.82
2016-10-27,USD,1
2016-10-27,CAD,1.34
2016-10-27,AUD,1.31
2016-10-27,EUR,0.92
2016-10-27,GBP,0.82
2016-10-28,USD,1
2016-10-28,CAD,1.34
2016-10-28,AUD,1.32
2016-10-28,EUR,0.92
2016-10-28,GBP,0.82
2016-10-29,USD,1
2016-10-29,CAD,1.34
2016-10-29,AUD,1.32
2016-10-29,EUR,0.92
2016-10-29,GBP,0.82
2016-10-30,USD,1
2016-10-30,CAD,1.34
2016-10-30,AUD,1.32
2016-10-30,EUR,0.92
2016-10-30,GBP,0.82
2016-10-31,USD,1
2016-10-31,CAD,1.34
2016-10-31,AUD,1.32
2016-10-31,EUR,0.91
2016-10-31,GBP,0.82
2016-11-01,USD,1
2016-11-01,CAD,1.34
2016-11-01,AUD,1.3
2016-11-01,EUR,0.91
2016-11-01,GBP,0.82
2016-11-02,USD,1
2016-11-02,CAD,1.34
2016-11-02,AUD,1.31
2016-11-02,EUR,0.9
2016-11-02,GBP,0.81
2016-11-03,USD,1
2016-11-03,CAD,1.34
2016-11-03,AUD,1.3
2016-11-03,EUR,0.9
2016-11-03,GBP,0.8
2016-11-04,USD,1
2016-11-04,CAD,1.34
2016-11-04,AUD,1.3
2016-11-04,EUR,0.9
2016-11-04,GBP,0.8
2016-11-05,USD,1
2016-11-05,CAD,1.34
2016-11-05,AUD,1.3
2016-11-05,EUR,0.9
2016-11-05,GBP,0.8
2016-11-06,USD,1
2016-11-06,CAD,1.34
2016-11-06,AUD,1.3
2016-11-06,EUR,0.9
2016-11-06,GBP,0.8
2016-11-07,USD,1
2016-11-07,CAD,1.34
2016-11-07,AUD,1.3
2016-11-07,EUR,0.9
2016-11-07,GBP,0.8
2016-11-08,USD,1
2016-11-08,CAD,1.34
2016-11-08,AUD,1.3
2016-11-08,EUR,0.91
2016-11-08,GBP,0.81
2016-11-09,USD,1
2016-11-09,CAD,1.34
2016-11-09,AUD,1.3
2016-11-09,EUR,0.91
2016-11-09,GBP,0.81
2016-11-10,USD,1
2016-11-10,CAD,1.35
2016-11-10,AUD,1.32
2016-11-10,EUR,0.92
2016-11-10,GBP,0.81
2016-11-11,USD,1
2016-11-11,CAD,1.35
2016-11-11,AUD,1.31
2016-11-11,EUR,0.92
2016-11-11,GBP,0.79
2016-11-12,USD,1
2016-11-12,CAD,1.35
2016-11-12,AUD,1.31
2016-11-12,EUR,0.92
2016-11-12,GBP,0.79
2016-11-13,USD,1
2016-11-13,CAD,1.35
2016-11-13,AUD,1.31
2016-11-13,EUR,0.92
2016-11-13,GBP,0.79
2016-11-14,USD,1
2016-11-14,CAD,1.35
2016-11-14,AUD,1.32
2016-11-14,EUR,0.93
2016-11-14,GBP,0.8
2016-11-15,USD,1
2016-11-15,CAD,1.35
2016-11-15,AUD,1.32
2016-11-15,EUR,0.93
2016-11-15,GBP,0.8
2016-11-16,USD,1
2016-11-16,CAD,1.35
2016-11-16,AUD,1.34
2016-11-16,EUR,0.93
2016-11-16,GBP,0.8
2016-11-17,USD,1
2016-11-17,CAD,1.34
2016-11-17,AUD,1.34
2016-11-17,EUR,0.93
2016-11-17,GBP,0.8
2016-11-18,USD,1
2016-11-18,CAD,1.35
2016-11-18,AUD,1.35
2016-11-18,EUR,0.94
2016-11-18,GBP,0.81
2016-11-19,USD,1
2016-11-19,CAD,1.35
2016-11-19,AUD,1.35
2016-11-19,EUR,0.94
2016-11-19,GBP,0.81
2016-11-20,USD,1
2016-11-20,CAD,1.35
2016-11-20,AUD,1.35
2016-11-20,EUR,0.94
2016-11-20,GBP,0.81
2016-11-21,USD,1
2016-11-21,CAD,1.35
2016-11-21,AUD,1.36
2016-11-21,EUR,0.94
2016-11-21,GBP,0.81
2016-11-22,USD,1
2016-11-22,CAD,1.34
2016-11-22,AUD,1.35
2016-11-22,EUR,0.94
2016-11-22,GBP,0.8
2016-11-23,USD,1
2016-11-23,CAD,1.35
2016-11-23,AUD,1.35
2016-11-23,EUR,0.94
2016-11-23,GBP,0.81
2016-11-24,USD,1
2016-11-24,CAD,1.35
2016-11-24,AUD,1.35
2016-11-24,EUR,0.95
2016-11-24,GBP,0.8
2016-11-25,USD,1
2016-11-25,CAD,1.35
2016-11-25,AUD,1.34
2016-11-25,EUR,0.94
2016-11-25,GBP,0.8
2016-11-26,USD,1
2016-11-26,CAD,1.35
2016-11-26,AUD,1.34
2016-11-26,EUR,0.94
2016-11-26,GBP,0.8
2016-11-27,USD,1
2016-11-27,CAD,1.35
2016-11-27,AUD,1.34
2016-11-27,EUR,0.94
2016-11-27,GBP,0.8
2016-11-28,USD,1
2016-11-28,CAD,1.35
2016-11-28,AUD,1.34
2016-11-28,EUR,0.94
2016-11-28,GBP,0.81
2016-11-29,USD,1
2016-11-29,CAD,1.35
2016-11-29,AUD,1.34
2016-11-29,EUR,0.95
2016-11-29,GBP,0.8
2016-11-30,USD,1
2016-11-30,CAD,1.34
2016-11-30,AUD,1.34
2016-11-30,EUR,0.94
2016-11-30,GBP,0.8
2016-12-01,USD,1
2016-12-01,CAD,1.34
2016-12-01,AUD,1.35
2016-12-01,EUR,0.94
2016-12-01,GBP,0.79
2016-12-02,USD,1
2016-12-02,CAD,1.33
2016-12-02,AUD,1.35
2016-12-02,EUR,0.94
2016-12-02,GBP,0.79
2016-12-03,USD,1
2016-12-03,CAD,1.33
2016-12-03,AUD,1.35
2016-12-03,EUR,0.94
2016-12-03,GBP,0.79
2016-12-04,USD,1
2016-12-04,CAD,1.33
2016-12-04,AUD,1.35
2016-12-04,EUR,0.94
2016-12-04,GBP,0.79
2016-12-05,USD,1
2016-12-05,CAD,1.33
2016-12-05,AUD,1.34
2016-12-05,EUR,0.93
2016-12-05,GBP,0.79
2016-12-06,USD,1
2016-12-06,CAD,1.33
2016-12-06,AUD,1.34
2016-12-06,EUR,0.93
2016-12-06,GBP,0.78
2016-12-07,USD,1
2016-12-07,CAD,1.33
2016-12-07,AUD,1.34
2016-12-07,EUR,0.93
2016-12-07,GBP,0.79
2016-12-08,USD,1
2016-12-08,CAD,1.32
2016-12-08,AUD,1.34
2016-12-08,EUR,0.93
2016-12-08,GBP,0.79
2016-12-09,USD,1
2016-12-09,CAD,1.32
2016-12-09,AUD,1.34
2016-12-09,EUR,0.95
2016-12-09,GBP,0.79
2016-12-10,USD,1
2016-12-10,CAD,1.32
2016-12-10,AUD,1.34
2016-12-10,EUR,0.95
2016-12-10,GBP,0.79
2016-12-11,USD,1
2016-12-11,CAD,1.32
2016-12-11,AUD,1.34
2016-12-11,EUR,0.95
2016-12-11,GBP,0.79
2016-12-12,USD,1
2016-12-12,CAD,1.31
2016-12-12,AUD,1.34
2016-12-12,EUR,0.94
2016-12-12,GBP,0.79
2016-12-13,USD,1
2016-12-13,CAD,1.31
2016-12-13,AUD,1.33
2016-12-13,EUR,0.94
2016-12-13,GBP,0.79
2016-12-14,USD,1
2016-12-14,CAD,1.31
2016-12-14,AUD,1.33
2016-12-14,EUR,0.94
2016-12-14,GBP,0.79
2016-12-15,USD,1
2016-12-15,CAD,1.33
2016-12-15,AUD,1.35
2016-12-15,EUR,0.96
2016-12-15,GBP,0.8
2016-12-16,USD,1
2016-12-16,CAD,1.34
2016-12-16,AUD,1.36
2016-12-16,EUR,0.96
2016-12-16,GBP,0.8
2016-12-17,USD,1
2016-12-17,CAD,1.34
2016-12-17,AUD,1.36
2016-12-17,EUR,0.96
2016-12-17,GBP,0.8
2016-12-18,USD,1
2016-12-18,CAD,1.34
2016-12-18,AUD,1.36
2016-12-18,EUR,0.96
2016-12-18,GBP,0.8
2016-12-19,USD,1
2016-12-19,CAD,1.34
2016-12-19,AUD,1.38
2016-12-19,EUR,0.96
2016-12-19,GBP,0.81
2016-12-20,USD,1
2016-12-20,CAD,1.34
2016-12-20,AUD,1.38
2016-12-20,EUR,0.96
2016-12-20,GBP,0.81
2016-12-21,USD,1
2016-12-21,CAD,1.34
2016-12-21,AUD,1.38
2016-12-21,EUR,0.96
2016-12-21,GBP,0.81
2016-12-22,USD,1
2016-12-22,CAD,1.35
2016-12-22,AUD,1.39
2016-12-22,EUR,0.96
2016-12-22,GBP,0.81
2016-12-23,USD,1
2016-12-23,CAD,1.35
2016-12-23,AUD,1.39
2016-12-23,EUR,0.96
2016-12-23,GBP,0.82
2016-12-24,USD,1
2016-12-24,CAD,1.35
2016-12-24,AUD,1.39
2016-12-24,EUR,0.96
2016-12-24,GBP,0.82
2016-12-25,USD,1
2016-12-25,CAD,1.35
2016-12-25,AUD,1.39
2016-12-25,EUR,0.96
2016-12-25,GBP,0.82
2016-12-26,USD,1
2016-12-26,CAD,1.35
2016-12-26,AUD,1.39
2016-12-26,EUR,0.96
2016-12-26,GBP,0.82
2016-12-27,USD,1
2016-12-27,CAD,1.35
2016-12-27,AUD,1.39
2016-12-27,EUR,0.96
2016-12-27,GBP,0.82
2016-12-28,USD,1
2016-12-28,CAD,1.36
2016-12-28,AUD,1.39
2016-12-28,EUR,0.96
2016-12-28,GBP,0.82
2016-12-29,USD,1
2016-12-29,CAD,1.35
2016-12-29,AUD,1.39
2016-12-29,EUR,0.96
2016-12-29,GBP,0.82
2016-12-30,USD,1
2016-12-30,CAD,1.35
2016-12-30,AUD,1.38
2016-12-30,EUR,0.95
2016-12-30,GBP,0.81
2016-12-31,USD,1
2016-12-31,CAD,1.35
2016-12-31,AUD,1.38
2016-12-31,EUR,0.95
2016-12-31,GBP,0.81
2017-01-01,USD,1
2017-01-01,CAD,1.35
2017-01-01,AUD,1.38
2017-01-01,EUR,0.95
2017-01-01,GBP,0.81
2017-01-02,USD,1
2017-01-02,CAD,1.34
2017-01-02,AUD,1.39
2017-01-02,EUR,0.96
2017-01-02,GBP,0.81
2017-01-03,USD,1
2017-01-03,CAD,1.34
2017-01-03,AUD,1.39
2017-01-03,EUR,0.96
2017-01-03,GBP,0.81
2017-01-04,USD,1
2017-01-04,CAD,1.33
2017-01-04,AUD,1.38
2017-01-04,EUR,0.96
2017-01-04,GBP,0.81
2017-01-05,USD,1
2017-01-05,CAD,1.33
2017-01-05,AUD,1.37
2017-01-05,EUR,0.95
2017-01-05,GBP,0.81
2017-01-06,USD,1
2017-01-06,CAD,1.33
2017-01-06,AUD,1.36
2017-01-06,EUR,0.94
2017-01-06,GBP,0.81
2017-01-07,USD,1
2017-01-07,CAD,1.33
2017-01-07,AUD,1.36
2017-01-07,EUR,0.94
2017-01-07,GBP,0.81
2017-01-08,USD,1
2017-01-08,CAD,1.33
2017-01-08,AUD,1.36
2017-01-08,EUR,0.94
2017-01-08,GBP,0.81
2017-01-09,USD,1
2017-01-09,CAD,1.33
2017-01-09,AUD,1.37
2017-01-09,EUR,0.95
2017-01-09,GBP,0.82
2017-01-10,USD,1
2017-01-10,CAD,1.32
2017-01-10,AUD,1.36
2017-01-10,EUR,0.95
2017-01-10,GBP,0.82
2017-01-11,USD,1
2017-01-11,CAD,1.33
2017-01-11,AUD,1.36
2017-01-11,EUR,0.95
2017-01-11,GBP,0.83
2017-01-12,USD,1
2017-01-12,CAD,1.31
2017-01-12,AUD,1.33
2017-01-12,EUR,0.94
2017-01-12,GBP,0.81
2017-01-13,USD,1
2017-01-13,CAD,1.31
2017-01-13,AUD,1.33
2017-01-13,EUR,0.94
2017-01-13,GBP,0.82
2017-01-14,USD,1
2017-01-14,CAD,1.31
2017-01-14,AUD,1.33
2017-01-14,EUR,0.94
2017-01-14,GBP,0.82
2017-01-15,USD,1
2017-01-15,CAD,1.31
2017-01-15,AUD,1.33
2017-01-15,EUR,0.94
2017-01-15,GBP,0.82
2017-01-16,USD,1
2017-01-16,CAD,1.31
2017-01-16,AUD,1.34
2017-01-16,EUR,0.94
2017-01-16,GBP,0.83
2017-01-17,USD,1
2017-01-17,CAD,1.31
2017-01-17,AUD,1.33
2017-01-17,EUR,0.94
2017-01-17,GBP,0.81
2017-01-18,USD,1
2017-01-18,CAD,1.31
2017-01-18,AUD,1.32
2017-01-18,EUR,0.94
2017-01-18,GBP,0.81
2017-01-19,USD,1
2017-01-19,CAD,1.33
2017-01-19,AUD,1.32
2017-01-19,EUR,0.94
2017-01-19,GBP,0.81
2017-01-20,USD,1
2017-01-20,CAD,1.34
2017-01-20,AUD,1.33
2017-01-20,EUR,0.94
2017-01-20,GBP,0.81
2017-01-21,USD,1
2017-01-21,CAD,1.34
2017-01-21,AUD,1.33
2017-01-21,EUR,0.94
2017-01-21,GBP,0.81
2017-01-22,USD,1
2017-01-22,CAD,1.34
2017-01-22,AUD,1.33
2017-01-22,EUR,0.94
2017-01-22,GBP,0.81
2017-01-23,USD,1
2017-01-23,CAD,1.33
2017-01-23,AUD,1.32
2017-01-23,EUR,0.93
2017-01-23,GBP,0.8
2017-01-24,USD,1
2017-01-24,CAD,1.33
2017-01-24,AUD,1.32
2017-01-24,EUR,0.93
2017-01-24,GBP,0.8
2017-01-25,USD,1
2017-01-25,CAD,1.31
2017-01-25,AUD,1.32
2017-01-25,EUR,0.93
2017-01-25,GBP,0.79
2017-01-26,USD,1
2017-01-26,CAD,1.31
2017-01-26,AUD,1.33
2017-01-26,EUR,0.93
2017-01-26,GBP,0.8
2017-01-27,USD,1
2017-01-27,CAD,1.31
2017-01-27,AUD,1.33
2017-01-27,EUR,0.94
2017-01-27,GBP,0.8
2017-01-28,USD,1
2017-01-28,CAD,1.31
2017-01-28,AUD,1.33
2017-01-28,EUR,0.94
2017-01-28,GBP,0.8
2017-01-29,USD,1
2017-01-29,CAD,1.31
2017-01-29,AUD,1.33
2017-01-29,EUR,0.94
2017-01-29,GBP,0.8
2017-01-30,USD,1
2017-01-30,CAD,1.32
2017-01-30,AUD,1.33
2017-01-30,EUR,0.94
2017-01-30,GBP,0.8
2017-01-31,USD,1
2017-01-31,CAD,1.31
2017-01-31,AUD,1.32
2017-01-31,EUR,0.93
2017-01-31,GBP,0.8
2017-02-01,USD,1
2017-02-01,CAD,1.31
2017-02-01,AUD,1.32
2017-02-01,EUR,0.93
2017-02-01,GBP,0.79
2017-02-02,USD,1
2017-02-02,CAD,1.3
2017-02-02,AUD,1.3
2017-02-02,EUR,0.93
2017-02-02,GBP,0.8
2017-02-03,USD,1
2017-02-03,CAD,1.31
2017-02-03,AUD,1.31
2017-02-03,EUR,0.93
2017-02-03,GBP,0.8
2017-02-04,USD,1
2017-02-04,CAD,1.31
2017-02-04,AUD,1.31
2017-02-04,EUR,0.93
2017-02-04,GBP,0.8
2017-02-05,USD,1
2017-02-05,CAD,1.31
2017-02-05,AUD,1.31
2017-02-05,EUR,0.93
2017-02-05,GBP,0.8
2017-02-06,USD,1
2017-02-06,CAD,1.31
2017-02-06,AUD,1.31
2017-02-06,EUR,0.93
2017-02-06,GBP,0.8
2017-02-07,USD,1
2017-02-07,CAD,1.32
2017-02-07,AUD,1.31
2017-02-07,EUR,0.94
2017-02-07,GBP,0.81
2017-02-08,USD,1
2017-02-08,CAD,1.31
2017-02-08,AUD,1.31
2017-02-08,EUR,0.94
2017-02-08,GBP,0.8
2017-02-09,USD,1
2017-02-09,CAD,1.31
2017-02-09,AUD,1.31
2017-02-09,EUR,0.94
2017-02-09,GBP,0.8
2017-02-10,USD,1
2017-02-10,CAD,1.31
2017-02-10,AUD,1.31
2017-02-10,EUR,0.94
